pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
30420,0.0,2.0,0.0,0.0,0.0,0.0
30421,0.0,0.0,0.0,1.0,1.0,0.0
30444,2.0,5.0,3.0,0.0,0.0,0.0
30445,1.0,1.0,1.0,1.0,0.0,0.0
30446,0.0,0.0,0.0,0.0,3.0,0.0
30447,1.0,0.0,0.0,1.0,0.0,1.0
30448,1.0,0.0,1.0,1.0,3.0,3.0
30451,2.0,0.0,0.0,0.0,0.0,1.0
30500,3.0,0.0,0.0,1.0,2.0,1.0
30503,2.0,0.0,0.0,1.0,1.0,0.0
30504,4.0,3.0,1.0,1.0,1.0,1.0
30507,0.0,0.0,0.0,1.0,0.0,0.0
30510,2.0,0.0,2.0,1.0,2.0,0.0
30511,0.0,0.0,0.0,0.0,1.0,0.0
30512,2.0,0.0,0.0,1.0,1.0,2.0
30514,8.0,1.0,2.0,2.0,2.0,0.0
30515,1.0,0.0,1.0,0.0,0.0,2.0
30521,0.0,0.0,1.0,1.0,0.0,0.0
30522,2.0,3.0,0.0,0.0,0.0,3.0
30530,0.0,1.0,0.0,1.0,1.0,0.0
30531,0.0,0.0,0.0,1.0,0.0,0.0
30533,0.0,0.0,0.0,1.0,0.0,0.0
30534,0.0,0.0,0.0,0.0,0.0,1.0
30541,2.0,1.0,2.0,3.0,0.0,0.0
30551,0.0,0.0,1.0,0.0,0.0,0.0
30553,0.0,0.0,2.0,0.0,0.0,0.0
30600,0.0,0.0,0.0,0.0,1.0,1.0
30602,1.0,0.0,1.0,0.0,0.0,0.0
30604,0.0,0.0,0.0,0.0,1.0,0.0
30611,0.0,0.0,0.0,0.0,1.0,0.0
30612,0.0,0.0,0.0,0.0,1.0,0.0
30634,0.0,7.0,1.0,3.0,2.0,0.0
30641,0.0,1.0,0.0,0.0,0.0,0.0
30643,0.0,0.0,0.0,0.0,0.0,2.0
30700,1.0,10.0,0.0,0.0,0.0,0.0
30701,0.0,1.0,2.0,2.0,1.0,1.0
30706,1.0,0.0,0.0,0.0,0.0,0.0
30707,0.0,0.0,0.0,1.0,0.0,0.0
30710,5.0,2.0,1.0,1.0,3.0,2.0
30723,0.0,2.0,0.0,0.0,1.0,0.0
30727,0.0,3.0,0.0,0.0,0.0,0.0
30728,0.0,0.0,1.0,0.0,0.0,0.0
30800,0.0,0.0,1.0,1.0,0.0,0.0
30803,0.0,0.0,1.0,0.0,1.0,0.0
30804,2.0,0.0,0.0,0.0,1.0,0.0
30810,0.0,0.0,0.0,1.0,1.0,1.0
30812,1.0,0.0,0.0,0.0,0.0,0.0
30816,0.0,0.0,0.0,0.0,0.0,1.0
30820,0.0,1.0,1.0,1.0,0.0,2.0
30821,2.0,5.0,0.0,1.0,1.0,3.0
30822,1.0,2.0,0.0,2.0,1.0,0.0
30825,0.0,0.0,0.0,0.0,0.0,1.0
30832,0.0,1.0,0.0,1.0,0.0,0.0
30840,0.0,1.0,0.0,0.0,0.0,0.0
30903,0.0,1.0,0.0,1.0,1.0,0.0
31001,1.0,1.0,3.0,1.0,2.0,2.0
31002,0.0,0.0,0.0,0.0,0.0,1.0
31003,1.0,1.0,2.0,2.0,0.0,4.0
31004,0.0,1.0,4.0,0.0,5.0,1.0
31010,2.0,0.0,0.0,0.0,0.0,0.0
31011,0.0,0.0,0.0,0.0,0.0,1.0
31012,0.0,1.0,0.0,0.0,0.0,0.0
31014,0.0,0.0,0.0,0.0,1.0,0.0
31015,0.0,0.0,0.0,1.0,1.0,0.0
31017,0.0,0.0,1.0,0.0,2.0,0.0
31020,0.0,0.0,0.0,0.0,1.0,0.0
31021,2.0,0.0,3.0,0.0,0.0,2.0
31022,0.0,1.0,0.0,0.0,0.0,0.0
31023,0.0,0.0,1.0,1.0,0.0,1.0
31024,0.0,0.0,1.0,0.0,0.0,2.0
31028,1.0,0.0,0.0,0.0,0.0,0.0
31029,0.0,1.0,0.0,3.0,0.0,0.0
31031,1.0,0.0,0.0,0.0,0.0,0.0
31032,1.0,0.0,0.0,0.0,0.0,0.0
31042,2.0,1.0,2.0,3.0,0.0,4.0
31043,0.0,0.0,0.0,0.0,0.0,1.0
31045,0.0,0.0,0.0,1.0,0.0,0.0
31047,0.0,1.0,0.0,0.0,0.0,0.0
